State,X12_or_Older_Estimate,X12_or_Older_95_CI_Lower_,X12_or_Older_95_CI_Upper_,X12_17_Estimate,X12_17_95_CI_Lower_,X12_17_95_CI_Upper_,X18_25_Estimate,X18_25_95_CI_Lower_,X18_25_95_CI_Upper_,X26_or_Older_Estimate,X26_or_Older_95_CI_Lower_,X26_or_Older_95_CI_Upper_
Total U.S.,0.2697,0.265,0.2745,0.1034,0.0996,0.1074,0.4017,0.3946,0.4089,0.2676,0.2618,0.2736
Northeast,0.2591,0.2495,0.269,0.1038,0.097,0.1111,0.3968,0.385,0.4087,0.2543,0.2424,0.2665
Midwest,0.2955,0.287,0.3041,0.1142,0.1085,0.1203,0.4474,0.4376,0.4573,0.292,0.2813,0.3029
South,0.2844,0.2763,0.2926,0.1051,0.0997,0.1109,0.4054,0.3961,0.4147,0.286,0.2758,0.2964
West,0.2307,0.221,0.2407,0.0907,0.0837,0.0983,0.3582,0.3456,0.371,0.226,0.2138,0.2386
Alabama,0.3243,0.2966,0.3534,0.1138,0.0954,0.1351,0.4484,0.4119,0.4853,0.3291,0.2954,0.3646
Alaska,0.3288,0.2979,0.3613,0.1239,0.1023,0.1494,0.4647,0.4257,0.5042,0.3312,0.293,0.3717
Arizona,0.2685,0.2394,0.2998,0.1078,0.0876,0.1319,0.3707,0.3338,0.4092,0.272,0.237,0.3101
Arkansas,0.3262,0.2975,0.3563,0.1235,0.1028,0.1476,0.4485,0.413,0.4844,0.3312,0.2967,0.3676
California,0.1997,0.1861,0.214,0.0753,0.0652,0.0868,0.3244,0.3046,0.3448,0.1932,0.1762,0.2114
Colorado,0.2744,0.2472,0.3034,0.1205,0.099,0.146,0.434,0.397,0.4717,0.2652,0.2329,0.3002
Connecticut,0.255,0.228,0.2841,0.1007,0.0824,0.1225,0.4181,0.3808,0.4563,0.2478,0.2158,0.2829
Delaware,0.2907,0.2637,0.3192,0.1137,0.0937,0.1373,0.4105,0.3722,0.45,0.2914,0.259,0.3261
District of Columbia,0.267,0.2393,0.2966,0.0762,0.0603,0.0958,0.344,0.3099,0.3798,0.2651,0.2317,0.3015
Florida,0.2598,0.2448,0.2753,0.0868,0.0768,0.0981,0.3644,0.3448,0.3843,0.2625,0.2443,0.2815
Georgia,0.2604,0.2345,0.2879,0.1157,0.0949,0.1403,0.3807,0.3444,0.4183,0.2586,0.2274,0.2924
Hawaii,0.2348,0.2083,0.2636,0.0942,0.0745,0.1184,0.354,0.317,0.3929,0.2317,0.2003,0.2664
Idaho,0.2737,0.2461,0.303,0.1134,0.0935,0.1369,0.3834,0.348,0.4201,0.2761,0.2427,0.3122
Illinois,0.2688,0.2542,0.284,0.0959,0.0851,0.108,0.424,0.4044,0.4438,0.2642,0.2461,0.2831
Indiana,0.2993,0.2721,0.3279,0.1066,0.0888,0.1274,0.4413,0.4043,0.4789,0.2992,0.2664,0.3343
